id,name,category,description,price,image

38,Paneer Maratha,Indian Main Course Veg,Cottage cheese in Maharashtrian style gravy,200,/images/paneer-maratha.jpg
39,Paneer Punjabi,Indian Main Course Veg,Cottage cheese in traditional Punjabi gravy,220,/images/paneer-punjabi.jpg
40,Paneer Lababdar,Indian Main Course Veg,Cottage cheese in rich creamy gravy,220,/images/paneer-lababdar.jpg
41,Paneer Do Pyaza,Indian Main Course Veg,Cottage cheese with double onion gravy,180,/images/paneer-do-pyaza.jpg
42,Paneer Masala,Indian Main Course Veg,Cottage cheese in aromatic spiced gravy,180,/images/paneer-masala.jpg
43,Paneer Pasanda,Indian Main Course Veg,Stuffed cottage cheese in rich creamy gravy,250,/images/paneer-pasanda.jpg
44,Shahi Paneer,Indian Main Course Veg,Cottage cheese in royal creamy gravy,250,/images/shahi-paneer.jpg
45,Malai Kofta,Indian Main Course Veg,Cottage cheese dumplings in rich creamy gravy,250,/images/malai-kofta.jpg
46,Palak Paneer,Indian Main Course Veg,Cottage cheese in spinach gravy,200,/images/palak-paneer.jpg
47,Corn Palak,Indian Main Course Veg,Corn kernels in spinach gravy,200,/images/corn-palak.jpg
48,Lahsuni Palak,Indian Main Course Veg,Garlicky spinach preparation,220,/images/lahsuni-palak.jpg
49,Aloo Palak,Indian Main Course Veg,Potatoes in spinach gravy,180,/images/aloo-palak.jpg
50,Kadahi Mashroom,Indian Main Course Veg,Mushrooms cooked in spicy kadai masala,200,/images/kadahi-mushroom.jpg
51,Mashroom Masala,Indian Main Course Veg,Mushrooms in aromatic spiced gravy,180,/images/mushroom-masala.jpg
52,Dum Aloo Punjabi,Indian Main Course Veg,Baby potatoes in rich Punjabi gravy,200,/images/dum-aloo-punjabi.jpg
53,Shaam Savera,Indian Main Course Veg,Spinach koftas stuffed with cottage cheese,250,/images/shaam-savera.jpg
54,Veg. Khaasiyat,Indian Main Course Veg,Special mixed vegetable preparation,180,/images/veg-khaasiyat.jpg
55,Veg. Chilly Milli,Indian Main Course Veg,Mixed vegetables in spicy gravy,200,/images/veg-chilly-milli.jpg
56,Mix Veg.,Indian Main Course Veg,Assorted vegetables in curry,160,/images/mix-veg.jpg
57,Dal Makhani,Indian Main Course Veg,Creamy black lentils,160,/images/dal-makhani.jpg
58,Dal Tadka,Indian Main Course Veg,Yellow lentils with tempered spices,160,/images/dal-tadka.jpg
36,Kadahi Paneer,Indian Main Course Veg,Cottage cheese cooked in spicy kadai masala,200,/images/kadahi-paneer.jpg
37,Paneer Butter Masala,Indian Main Course Veg,Cottage cheese in rich tomato-butter gravy,180,/images/paneer-butter-masala.jpg
59,Dal Fry,Indian Main Course Veg,Yellow lentils preparation,150,/images/dal-fry.jpg
60,Channa Masala,Indian Main Course Veg,Spiced chickpea curry,150,/images/channa-masala.jpg
